Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif; 
2025-04-02 09:00:00 CEST;"42;71875";101,0kWh;"31;6875";"4;8125";0,0kWh;"8;88671875";"55;7109375";"40;28125";0,0kWh;"8;578125";"9;4541015625";"13;1875";
2025-04-02 10:00:00 CEST;"62;5625";"99;5";"36;125";"4;7265625";0,0kWh;"8;806640625";"39;6015625";"40;5";0,0kWh;"8;0859375";"9;8232421875";7,0kWh;
2025-04-02 11:00:00 CEST;"107;5625";"88;375";"39;375";"13;1015625";0,0kWh;"8;669921875";"38;109375";"40;71875";0,0kWh;"8;12890625";"12;755859375";"5;78125";
2025-04-02 12:00:00 CEST;"97;8125";"49;75";"34;9375";"15;5390625";0,0kWh;"8;6171875";"51;875";"39;6875";0,0kWh;"8;0546875";"11;91796875";"4;28125";
2025-04-02 13:00:00 CEST;"97;21875";"101;5";"33;625";"26;3984375";0,0kWh;"8;58984375";"53;4453125";"39;5";0,0kWh;"7;55078125";"11;8720703125";"10;875";
2025-04-02 14:00:00 CEST;"95;6875";"97;375";"29;25";"13;5078125";0,0kWh;"8;6611328125";"53;8515625";"0;9375";0,0kWh;9,0kWh;"11;7646484375";0,0kWh;
2025-04-02 15:00:00 CEST;"97;875";85,0kWh;"34;75";"18;015625";0,0kWh;"8;66796875";"53;7734375";0,0kWh;0,0kWh;"8;80859375";"11;7216796875";"0;03125";
2025-04-02 16:00:00 CEST;"108;46875";"100;75";29,0kWh;"17;2421875";0,0kWh;"8;654296875";"52;3359375";0,0kWh;0,0kWh;"9;171875";"11;349609375";0,0kWh;
2025-04-02 17:00:00 CEST;"109;625";"95;25";"34;25";"1;3984375";0,0kWh;"8;6767578125";"50;2890625";0,0kWh;0,0kWh;"9;58203125";"11;6953125";0,0kWh;
2025-04-02 18:00:00 CEST;"108;09375";"77;5";"33;9375";"1;421875";0,0kWh;"8;8212890625";"51;8984375";0,0kWh;0,0kWh;"9;8828125";"11;810546875";0,0kWh;
2025-04-02 19:00:00 CEST;"107;625";80,0kWh;"29;5";"1;40625";0,0kWh;"9;0498046875";"54;5546875";0,0kWh;0,0kWh;"9;99609375";"12;37109375";0,0kWh;
2025-04-02 20:00:00 CEST;"98;78125";"103;25";"29;8125";"2;5546875";0,0kWh;"6;6025390625";"50;25";0,0kWh;0,0kWh;"10;3515625";"11;6611328125";0,0kWh;
2025-04-02 21:00:00 CEST;"9;46875";"96;125";"29;625";"29;6796875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"10;671875";"9;884765625";0,0kWh;
2025-04-02 22:00:00 CEST;"8;8125";"49;125";40,0kWh;"23;5703125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"10;8828125";"9;8642578125";0,0kWh;
2025-04-02 23:00:00 CEST;"6;5";"54;625";"24;6875";"8;9609375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"7;9375";"7;548828125";0,0kWh;
2025-04-03 00:00:00 CEST;"8;9375";98,0kWh;"30;25";"1;6875";0,0kWh;"0;0009765625";0,0kWh;0,0kWh;0,0kWh;"10;52734375";"10;205078125";0,0kWh;
2025-04-03 01:00:00 CEST;"8;71875";"102;625";30,0kWh;"1;3359375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"11;078125";"10;07421875";0,0kWh;
2025-04-03 02:00:00 CEST;"8;75";"82;875";"41;25";"1;1796875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"9;8984375";"10;19921875";0,0kWh;
2025-04-03 03:00:00 CEST;"9;34375";"101;25";35,0kWh;"1;2734375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"10;94140625";"9;99609375";0,0kWh;
2025-04-03 04:00:00 CEST;"9;28125";"102;5";"30;3125";"1;234375";0,0kWh;"0;0009765625";0,0kWh;0,0kWh;0,0kWh;"10;6328125";"10;3203125";0,0kWh;
2025-04-03 05:00:00 CEST;"9;09375";"99;375";"27;9375";"1;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"11;1875";"10;2861328125";0,0kWh;
2025-04-03 06:00:00 CEST;"10;40625";54,0kWh;"4;9375";"0;1015625";0,0kWh;0,0kWh;"8;671875";"21;59375";0,0kWh;"6;57421875";"11;919921875";"0;03125";
2025-04-03 07:00:00 CEST;"114;3125";"102;25";"38;625";"1;484375";0,0kWh;0,0kWh;"26;546875";"34;59375";0,0kWh;"10;35546875";"13;318359375";"0;21875";
2025-04-03 08:00:00 CEST;"106;125";"100;125";"31;5";"1;796875";0,0kWh;0,0kWh;"2;484375";"38;53125";0,0kWh;"10;38671875";"12;8818359375";"10;8125";
2025-04-03 09:00:00 CEST;"104;03125";97,0kWh;"28;25";"3;75";0,0kWh;"5;2001953125";"2;2734375";"38;34375";0,0kWh;"10;5625";"12;044921875";"12;1875";
2025-04-03 10:00:00 CEST;"103;78125";"79;375";"28;4375";"3;203125";0,0kWh;"9;6826171875";"2;109375";"6;90625";0,0kWh;10,0kWh;"11;24609375";"1;875";
2025-04-03 11:00:00 CEST;"107;03125";"97;75";"28;75";"3;46875";0,0kWh;"8;822265625";"2;078125";"33;0625";0,0kWh;"9;48046875";"11;6708984375";"7;9375";
2025-04-03 12:00:00 CEST;"96;34375";"99;625";38,0kWh;"2;8125";0,0kWh;"8;5654296875";"2;0703125";"40;46875";0,0kWh;"10;671875";"11;12890625";"0;1875";
2025-04-03 13:00:00 CEST;"105;46875";"90;375";"34;875";"3;09375";0,0kWh;"8;666015625";"2;453125";"40;78125";0,0kWh;"11;58203125";"11;62890625";"0;1875";
2025-04-03 14:00:00 CEST;"105;40625";93,0kWh;"32;9375";"2;2734375";0,0kWh;"8;9482421875";"2;3671875";"40;84375";0,0kWh;"11;0859375";"11;240234375";"0;125";
2025-04-03 15:00:00 CEST;"106;21875";"91;75";"29;625";"0;390625";0,0kWh;"8;72265625";0,0kWh;"40;90625";0,0kWh;"11;32421875";"11;5888671875";0,0kWh;
2025-04-03 16:00:00 CEST;"83;3125";"76;125";"27;3125";"0;9765625";0,0kWh;"6;9921875";0,0kWh;"31;875";0,0kWh;"8;67578125";"8;2900390625";"0;03125";
2025-04-04 00:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 01:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 02:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 03:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 04:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 05:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 06:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 07:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-04-04 08:00:00 CEST;"58;3125";"55;25";"18;625";"13;1640625";0,0kWh;"4;7587890625";"1;109375";"22;5";0,0kWh;"6;3046875";"6;21875";"3;59375";
2025-04-04 09:00:00 CEST;"107;53125";"96;125";"30;625";"19;5";0,0kWh;"8;6142578125";"2;015625";"41;5625";0,0kWh;"11;8984375";"11;689453125";"0;125";
2025-04-04 10:00:00 CEST;"105;59375";"97;75";"29;375";"19;203125";0,0kWh;"8;5380859375";"2;0234375";"42;375";0,0kWh;"11;59375";"11;251953125";"6;8125";
2025-04-04 11:00:00 CEST;"104;9375";"63;5";"29;5625";"26;5390625";0,0kWh;"8;544921875";"40;375";"40;46875";0,0kWh;"11;88671875";"11;3876953125";"11;90625";
2025-04-04 12:00:00 CEST;"108;40625";"48;75";"31;25";"19;4140625";0,0kWh;"8;486328125";"55;265625";"39;6875";0,0kWh;"12;16796875";"11;0830078125";"1;0625";
2025-04-04 13:00:00 CEST;"108;09375";"46;125";"30;9375";"16;359375";0,0kWh;"8;49609375";"55;15625";"23;34375";0,0kWh;"11;89453125";"11;2451171875";"0;21875";
2025-04-04 14:00:00 CEST;"74;25";"45;125";"27;1875";"10;3984375";0,0kWh;"8;61328125";"55;03125";"0;3125";0,0kWh;"11;50390625";"11;7080078125";0,0kWh;
2025-04-04 15:00:00 CEST;"105;34375";"43;125";"27;4375";"1;328125";0,0kWh;"8;8046875";"55;109375";0,0kWh;0,0kWh;"11;89453125";"11;8603515625";0,0kWh;
2025-04-04 16:00:00 CEST;"104;5";"44;5";"30;4375";"1;3359375";0,0kWh;"8;732421875";"54;65625";0,0kWh;0,0kWh;"11;24609375";"11;115234375";0,0kWh;
2025-04-04 17:00:00 CEST;"105;5";"44;75";"33;6875";"1;3671875";0,0kWh;"8;712890625";"53;2265625";0,0kWh;0,0kWh;"11;20703125";"11;9189453125";0,0kWh;
2025-04-04 18:00:00 CEST;"107;21875";46,0kWh;"30;8125";"1;3828125";0,0kWh;"9;0322265625";"53;2421875";0,0kWh;0,0kWh;"11;234375";"11;8828125";0,0kWh;
2025-04-04 19:00:00 CEST;"105;625";"47;375";"35;625";"1;3671875";0,0kWh;"8;9150390625";"54;1484375";0,0kWh;0,0kWh;"11;1796875";"11;4521484375";0,0kWh;
2025-04-04 20:00:00 CEST;98,0kWh;84,0kWh;"30;125";"1;3671875";0,0kWh;"7;1591796875";"44;8046875";"0;84375";0,0kWh;"11;37109375";"11;076171875";0,0kWh;
2025-04-04 21:00:00 CEST;"8;1875";95,0kWh;"10;0625";"27;53125";0,0kWh;0,0kWh;0,0kWh;"15;3125";0,0kWh;"12;65234375";"10;41015625";0,0kWh;
2025-04-04 22:00:00 CEST;"8;71875";"82;875";0,0kWh;"21;5";0,0kWh;0,0kWh;0,0kWh;"28;34375";0,0kWh;"13;03125";"10;6845703125";0,0kWh;
2025-04-04 23:00:00 CEST;"3;8125";"12;25";0,0kWh;"10;1640625";0,0kWh;0,0kWh;0,0kWh;"18;6875";0,0kWh;"5;82421875";"4;8125";0,0kWh;
2025-04-05 00:00:00 CEST;"8;1875";"26;75";0,0kWh;"13;1484375";0,0kWh;0,0kWh;"0;0078125";"37;15625";0,0kWh;"13;47265625";"10;896484375";0,0kWh;
2025-04-05 01:00:00 CEST;"8;375";"27;25";0,0kWh;"21;1484375";0,0kWh;0,0kWh;0,0kWh;"29;84375";0,0kWh;"13;28515625";"10;8125";0,0kWh;
2025-04-05 02:00:00 CEST;"9;3125";52,0kWh;0,0kWh;"6;3203125";0,0kWh;0,0kWh;0,0kWh;42,0kWh;0,0kWh;"12;41796875";"10;73828125";0,0kWh;
2025-04-05 03:00:00 CEST;"8;59375";"80;25";0,0kWh;"21;5625";0,0kWh;0,0kWh;0,0kWh;"41;875";0,0kWh;"13;36328125";"10;8388671875";0,0kWh;
2025-04-05 04:00:00 CEST;"9;40625";"55;375";0,0kWh;"11;9453125";0,0kWh;0,0kWh;0,0kWh;"42;09375";0,0kWh;"13;05078125";"10;65234375";0,0kWh;
2025-04-05 05:00:00 CEST;"31;59375";"49;5";0,0kWh;"1;765625";0,0kWh;0,0kWh;0,0kWh;"39;8125";0,0kWh;"12;8515625";"11;0537109375";0,0kWh;
2025-04-05 06:00:00 CEST;"39;09375";"26;5";"1;6875";"1;390625";0,0kWh;"3;1171875";"1;7265625";"4;125";0,0kWh;"6;88671875";"10;9990234375";0,0kWh;
2025-04-05 07:00:00 CEST;"114;125";"81;5";"48;4375";"5;0234375";0,0kWh;"10;4619140625";"57;21875";"42;46875";0,0kWh;"12;68359375";"12;462890625";0,0kWh;
2025-04-05 08:00:00 CEST;"104;46875";"80;75";"33;3125";"26;1875";0,0kWh;"8;6787109375";"56;6484375";"41;90625";0,0kWh;"12;7578125";"11;9072265625";0,0kWh;
2025-04-05 09:00:00 CEST;"110;5625";"80;5";"28;25";"6;609375";0,0kWh;"8;7353515625";"55;609375";"41;0625";0,0kWh;"12;44140625";"12;39453125";"0;0625";
2025-04-05 10:00:00 CEST;"107;53125";"79;625";"25;375";"16;6796875";0,0kWh;"8;5439453125";"51;21875";"40;8125";0,0kWh;"12;12109375";"11;421875";"0;125";
2025-04-05 11:00:00 CEST;"107;5625";"82;375";0,0kWh;"17;7421875";0,0kWh;"8;595703125";"56;21875";"41;09375";0,0kWh;"12;33203125";"12;08203125";0,0kWh;
2025-04-05 12:00:00 CEST;"108;28125";"99;25";0,0kWh;"2;0234375";0,0kWh;"8;5859375";"56;5703125";"41;3125";0,0kWh;"11;3515625";"11;232421875";0,0kWh;
2025-04-05 13:00:00 CEST;"107;53125";"89;75";0,0kWh;"1;5703125";0,0kWh;"8;595703125";"57;1796875";"41;34375";0,0kWh;"12;515625";"11;291015625";0,0kWh;
2025-04-05 14:00:00 CEST;"87;59375";"33;125";0,0kWh;"1;34375";0,0kWh;"8;6025390625";0,0kWh;"40;59375";0,0kWh;"12;109375";"11;27734375";0,0kWh;
2025-04-05 15:00:00 CEST;"52;875";"34;75";0,0kWh;"1;359375";0,0kWh;"8;6572265625";0,0kWh;"40;28125";0,0kWh;"12;20703125";"11;5888671875";0,0kWh;
2025-04-05 16:00:00 CEST;"53;59375";"33;875";0,0kWh;"1;3359375";0,0kWh;"8;6533203125";0,0kWh;"41;625";0,0kWh;"12;0859375";"11;45703125";0,0kWh;
2025-04-05 17:00:00 CEST;58,0kWh;"34;375";0,0kWh;"1;34375";0,0kWh;"8;9541015625";0,0kWh;"41;65625";0,0kWh;"12;1875";"11;880859375";0,0kWh;
2025-04-05 18:00:00 CEST;"65;75";"35;75";0,0kWh;"1;3515625";0,0kWh;"8;4306640625";0,0kWh;"41;90625";0,0kWh;"11;48828125";"12;3046875";0,0kWh;
2025-04-05 19:00:00 CEST;"41;03125";"32;875";0,0kWh;"1;328125";0,0kWh;"8;6044921875";0,0kWh;"42;0625";0,0kWh;"12;1796875";"10;9892578125";0,0kWh;
2025-04-05 20:00:00 CEST;"40;40625";"34;125";0,0kWh;"1;359375";0,0kWh;"5;21484375";0,0kWh;"33;96875";0,0kWh;"10;92578125";"11;078125";0,0kWh;
2025-04-05 21:00:00 CEST;"8;84375";"14;25";0,0kWh;"1;421875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"9;12890625";0,0kWh;
2025-04-05 22:00:00 CEST;"8;09375";"12;75";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;23046875";"9;138671875";0,0kWh;
2025-04-05 23:00:00 CEST;"4;84375";"6;375";0,0kWh;"0;7578125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;63671875";"4;681640625";0,0kWh;
2025-04-06 00:00:00 CEST;"8;65625";"13;5";0,0kWh;"1;4453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;22265625";"8;978515625";0,0kWh;
2025-04-06 01:00:00 CEST;"7;96875";"12;625";0,0kWh;"1;4296875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;21875";"9;259765625";0,0kWh;
2025-04-06 02:00:00 CEST;"8;96875";14,0kWh;0,0kWh;"1;4296875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3046875";"9;5986328125";0,0kWh;
2025-04-06 03:00:00 CEST;"7;84375";"12;375";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;2265625";"9;2373046875";0,0kWh;
2025-04-06 04:00:00 CEST;"8;40625";"13;625";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3046875";"9;263671875";0,0kWh;
2025-04-06 05:00:00 CEST;"8;3125";13,0kWh;0,0kWh;"1;453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;21484375";"9;3642578125";0,0kWh;
2025-04-06 06:00:00 CEST;9,0kWh;"13;5";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;19140625";"9;251953125";0,0kWh;
2025-04-06 07:00:00 CEST;9,0kWh;14,0kWh;0,0kWh;"1;3984375";0,0kWh;"10;4921875";0,0kWh;0,0kWh;0,0kWh;"1;28125";"9;3916015625";0,0kWh;
2025-04-06 08:00:00 CEST;"7;9375";"12;625";"41;875";"1;3828125";0,0kWh;"8;6865234375";0,0kWh;0,0kWh;0,0kWh;"1;21875";"9;509765625";0,0kWh;
2025-04-06 09:00:00 CEST;"8;5";14,0kWh;"29;75";"1;375";0,0kWh;"8;39453125";0,0kWh;0,0kWh;0,0kWh;"1;30859375";"9;201171875";0,0kWh;
2025-04-06 10:00:00 CEST;"9;25";"12;875";"31;625";"1;359375";0,0kWh;"8;314453125";0,0kWh;0,0kWh;0,0kWh;"1;2265625";"8;919921875";0,0kWh;
2025-04-06 11:00:00 CEST;"8;5625";"13;75";"34;1875";"1;359375";0,0kWh;"8;3369140625";0,0kWh;0,0kWh;0,0kWh;"1;24609375";"9;16015625";0,0kWh;
2025-04-06 12:00:00 CEST;"8;53125";"13;75";"36;9375";"1;3671875";0,0kWh;"8;2490234375";0,0kWh;0,0kWh;0,0kWh;"1;2265625";"8;8642578125";0,0kWh;
2025-04-06 13:00:00 CEST;"7;875";"12;625";0,0kWh;"1;3828125";0,0kWh;"3;859375";0,0kWh;0,0kWh;0,0kWh;"1;29296875";"8;7783203125";0,0kWh;
2025-04-06 14:00:00 CEST;"7;34375";"13;75";0,0kWh;"1;390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"8;794921875";0,0kWh;
2025-04-06 15:00:00 CEST;"7;375";"12;625";0,0kWh;"1;390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;203125";"8;9794921875";0,0kWh;
2025-04-06 16:00:00 CEST;"9;28125";"14;125";0,0kWh;"1;390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;2109375";"8;81640625";0,0kWh;
2025-04-06 17:00:00 CEST;"6;9375";13,0kWh;0,0kWh;"1;390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"9;294921875";0,0kWh;
2025-04-06 18:00:00 CEST;"8;71875";"13;5";0,0kWh;"1;390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"8;7607421875";0,0kWh;
2025-04-06 19:00:00 CEST;"6;96875";"12;5";0,0kWh;"1;3984375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;29296875";"8;9296875";0,0kWh;
2025-04-06 20:00:00 CEST;"7;1875";14,0kWh;0,0kWh;"1;3984375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"8;9287109375";0,0kWh;
2025-04-06 21:00:00 CEST;"7;40625";13,0kWh;0,0kWh;"1;421875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;20703125";"9;0703125";0,0kWh;
2025-04-06 22:00:00 CEST;"8;28125";"13;875";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28515625";"9;16796875";0,0kWh;
2025-04-06 23:00:00 CEST;"4;9375";"7;625";0,0kWh;"0;8515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;734375";"4;9873046875";0,0kWh;
2025-04-07 00:00:00 CEST;"6;53125";"13;875";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;32421875";"8;8984375";0,0kWh;
2025-04-07 01:00:00 CEST;"7;5625";"13;75";0,0kWh;"1;4375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;22265625";"8;830078125";0,0kWh;
2025-04-07 02:00:00 CEST;"9;125";"13;25";0,0kWh;"1;4453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3046875";"9;126953125";0,0kWh;
2025-04-07 03:00:00 CEST;"7;5";14,0kWh;0,0kWh;"1;4453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;21875";"9;1025390625";0,0kWh;
2025-04-07 04:00:00 CEST;"4;96875";"13;625";0,0kWh;"1;4453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"12;5859375";"9;2216796875";0,0kWh;
2025-04-07 05:00:00 CEST;"10;25";"13;25";0,0kWh;"1;4453125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"8;2109375";"9;349609375";0,0kWh;
2025-04-07 06:00:00 CEST;"57;5";"57;25";"0;875";"1;3671875";0,0kWh;0,0kWh;"4;2265625";0,0kWh;0,0kWh;"9;11328125";"8;986328125";0,0kWh;
2025-04-07 07:00:00 CEST;112,0kWh;"102;625";"47;625";"16;4296875";0,0kWh;0,0kWh;"25;828125";"35;875";0,0kWh;"12;53515625";"10;2158203125";"11;625";
2025-04-07 08:00:00 CEST;"106;1875";"101;75";"37;4375";"21;03125";0,0kWh;"0;0009765625";"58;9140625";"44;0625";0,0kWh;"12;70703125";"12;021484375";"12;96875";
2025-04-07 09:00:00 CEST;"104;71875";102,0kWh;"36;9375";"17;6484375";0,0kWh;"10;841796875";"34;8515625";"43;5625";0,0kWh;"11;125";"12;5322265625";5,0kWh;
2025-04-07 10:00:00 CEST;"103;25";"93;875";"31;5";"17;640625";0,0kWh;"8;501953125";"46;8203125";"42;71875";0,0kWh;"11;203125";"12;69921875";"0;90625";
2025-04-07 11:00:00 CEST;"102;65625";"100;625";"32;4375";"17;7265625";0,0kWh;"8;6005859375";"56;7421875";"42;6875";0,0kWh;"10;06640625";"12;9931640625";"11;125";
2025-04-07 12:00:00 CEST;"103;28125";"97;875";"35;1875";"17;0625";0,0kWh;"8;6240234375";"58;5859375";"36;65625";0,0kWh;"11;23046875";"12;9873046875";"9;96875";
2025-04-07 13:00:00 CEST;"64;34375";"75;125";"26;9375";"14;2734375";0,0kWh;"8;58203125";"44;59375";"24;15625";0,0kWh;"8;80859375";"6;8828125";"8;3125";
2025-04-07 14:00:00 CEST;"99;0625";"22;375";"29;625";"22;953125";0,0kWh;"8;734375";"51;4296875";"14;0625";0,0kWh;"10;42578125";"8;734375";0,0kWh;
2025-04-07 15:00:00 CEST;"102;15625";"13;75";"30;25";"12;71875";0,0kWh;"8;693359375";"59;4140625";"1;125";0,0kWh;"9;6953125";"8;4970703125";0,0kWh;
2025-04-07 16:00:00 CEST;"104;90625";15,0kWh;"34;3125";"5;9296875";0,0kWh;"8;7353515625";"29;8125";"1;125";0,0kWh;"11;66796875";"8;052734375";0,0kWh;
2025-04-07 17:00:00 CEST;"105;28125";"15;375";"33;75";"1;375";0,0kWh;"8;7392578125";"21;2109375";"31;28125";0,0kWh;"12;390625";"5;853515625";0,0kWh;
2025-04-07 18:00:00 CEST;"104;96875";"14;625";"26;9375";"1;3671875";0,0kWh;"8;4521484375";"3;78125";"40;5";0,0kWh;"11;78125";"5;802734375";0,0kWh;
2025-04-07 19:00:00 CEST;"79;65625";"14;625";"33;375";"1;3671875";0,0kWh;"8;6240234375";0,0kWh;"40;3125";0,0kWh;"11;77734375";"6;2578125";0,0kWh;
2025-04-07 20:00:00 CEST;"74;4375";36,0kWh;35,0kWh;"1;3671875";0,0kWh;"5;9189453125";0,0kWh;"35;6875";0,0kWh;"12;359375";"10;958984375";0,0kWh;
2025-04-07 21:00:00 CEST;"4;15625";"103;25";"34;25";"1;375";0,0kWh;"0;0009765625";0,0kWh;"37;84375";0,0kWh;"12;328125";"13;119140625";0,0kWh;
2025-04-07 22:00:00 CEST;"4;125";"99;75";"35;5";"1;390625";0,0kWh;0,0kWh;0,0kWh;"41;09375";0,0kWh;"11;2109375";"13;326171875";0,0kWh;
2025-04-07 23:00:00 CEST;"3;03125";"65;875";"19;1875";"0;921875";0,0kWh;0,0kWh;0,0kWh;"26;90625";0,0kWh;"8;01953125";"8;375";0,0kWh;
2025-04-08 00:00:00 CEST;"4;5";"87;375";"26;6875";"1;40625";0,0kWh;0,0kWh;0,0kWh;"39;84375";0,0kWh;"12;51953125";"13;5234375";0,0kWh;
2025-04-08 01:00:00 CEST;"4;21875";"82;625";"37;9375";"1;40625";0,0kWh;0,0kWh;0,0kWh;"39;5";0,0kWh;"13;1328125";"13;5888671875";0,0kWh;
2025-04-08 02:00:00 CEST;"4;59375";"79;875";"29;4375";"1;4296875";0,0kWh;"0;0009765625";0,0kWh;"38;90625";0,0kWh;"12;23828125";"13;208984375";0,0kWh;
2025-04-08 03:00:00 CEST;"4;46875";"78;75";"36;875";"1;40625";0,0kWh;0,0kWh;0,0kWh;"38;9375";0,0kWh;"12;37109375";"13;5419921875";0,0kWh;
2025-04-08 04:00:00 CEST;"4;625";"77;375";"39;1875";"1;40625";0,0kWh;0,0kWh;0,0kWh;"39;3125";0,0kWh;"13;05859375";"13;3779296875";0,0kWh;
2025-04-08 05:00:00 CEST;"4;59375";"75;25";"34;1875";"1;40625";0,0kWh;0,0kWh;0,0kWh;"36;59375";0,0kWh;"12;06640625";"12;986328125";0,0kWh;
2025-04-08 06:00:00 CEST;"60;5625";"43;375";0,0kWh;"1;4140625";0,0kWh;0,0kWh;"8;6875";"1;125";0,0kWh;"8;23828125";"10;658203125";"0;09375";
2025-04-08 07:00:00 CEST;"109;46875";"96;5";"40;8125";"30;6953125";0,0kWh;0,0kWh;"54;78125";"40;78125";0,0kWh;"11;8125";"11;671875";"11;65625";
2025-04-08 08:00:00 CEST;"97;28125";"99;875";"38;125";"22;1484375";0,0kWh;0,0kWh;"58;3515625";"40;75";0,0kWh;"11;4921875";"12;994140625";"12;875";
2025-04-08 09:00:00 CEST;"98;59375";"99;5";"38;5";"21;53125";0,0kWh;"2;26953125";"19;8515625";"40;65625";0,0kWh;"11;8046875";"13;2509765625";"12;28125";
2025-04-08 10:00:00 CEST;"90;71875";"99;875";"28;6875";"17;390625";0,0kWh;"10;4150390625";"54;8828125";"40;84375";0,0kWh;"11;6484375";"13;3447265625";"10;03125";
2025-04-08 11:00:00 CEST;"99;0625";"100;25";31,0kWh;"20;5390625";0,0kWh;"9;03125";"50;078125";"40;75";0,0kWh;"11;75";"12;6962890625";"9;4375";
2025-04-08 12:00:00 CEST;"99;09375";"99;25";"32;3125";"12;8671875";0,0kWh;"2;833984375";"47;9765625";"40;9375";0,0kWh;"11;19140625";"13;2353515625";"0;21875";
