Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif;
2025-01-03 15:00:00 CEST;"106;375";"94;375";37,0kWh;"1;609375";0,0kWh;"7;658203125";"48;20703125";"41;03125";0,0kWh;"11;458984375";"10;328125";"0;03125";
2025-01-03 16:00:00 CEST;"107;671875";"70;875";"28;1875";"1;640625";0,0kWh;"8;16748046875";"58;23046875";"1;5625";0,0kWh;"11;759765625";"12;421875";0,0kWh;
2025-01-03 17:00:00 CEST;"101;546875";"85;625";"37;3125";"1;609375";0,0kWh;"8;05615234375";"58;390625";"1;5";0,0kWh;"11;7607421875";"12;41796875";0,0kWh;
2025-01-03 18:00:00 CEST;"106;296875";"68;125";"32;75";"1;6015625";0,0kWh;"7;91943359375";"58;18359375";"1;40625";0,0kWh;"11;7314453125";"12;443359375";0,0kWh;
2025-01-03 19:00:00 CEST;"107;234375";"97;375";"41;0625";"1;59375";0,0kWh;"8;56103515625";"58;4765625";"1;4375";0,0kWh;"11;740234375";"12;701171875";0,0kWh;
2025-01-03 20:00:00 CEST;"97;859375";"96;375";"29;6875";"1;6171875";0,0kWh;"7;06201171875";"56;80859375";"20;03125";0,0kWh;"11;7080078125";"12;392578125";0,0kWh;
2025-01-03 21:00:00 CEST;"1;1875";"97;875";"41;875";"31;4375";0,0kWh;0,0kWh;0,0kWh;"42;84375";0,0kWh;"11;6875";"9;37890625";0,0kWh;
2025-01-03 22:00:00 CEST;"1;203125";"96;75";"39;9375";"23;8515625";0,0kWh;0,0kWh;0,0kWh;"42;25";0,0kWh;"12;1708984375";"6;369140625";0,0kWh;
2025-01-03 23:00:00 CEST;"0;984375";79,0kWh;"28;8125";"10;9140625";0,0kWh;0,0kWh;0,0kWh;"33;875";0,0kWh;"9;984375";"4;90625";0,0kWh;
2025-01-04 00:00:00 CEST;"1;21875";"98;625";"30;25";"0;15625";0,0kWh;0,0kWh;0,0kWh;"41;21875";0,0kWh;"11;484375";"6;18359375";0,0kWh;
2025-01-04 01:00:00 CEST;"1;203125";"96;5";"32;375";"0;140625";0,0kWh;"0;00048828125";0,0kWh;"40;65625";0,0kWh;"12;3974609375";"12;662109375";0,0kWh;
2025-01-04 02:00:00 CEST;"1;21875";"96;125";"41;5";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"40;6875";0,0kWh;"11;5751953125";"10;17578125";0,0kWh;
2025-01-04 03:00:00 CEST;"1;21875";"96;375";"36;5625";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"40;59375";0,0kWh;"12;4921875";"9;943359375";0,0kWh;
2025-01-04 04:00:00 CEST;"1;21875";"87;125";"34;125";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"40;5625";0,0kWh;"12;17578125";"9;5390625";0,0kWh;
2025-01-04 05:00:00 CEST;"1;21875";"90;25";"24;5";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"35;71875";0,0kWh;"11;9580078125";"9;884765625";0,0kWh;
2025-01-04 06:00:00 CEST;"12;421875";"22;75";0,0kWh;"0;1484375";0,0kWh;"7;84228515625";"1;18359375";"1;65625";0,0kWh;"7;625";"9;857421875";0,0kWh;
2025-01-04 07:00:00 CEST;"111;59375";"97;25";"33;75";"0;140625";0,0kWh;"8;00830078125";"58;265625";"41;3125";0,0kWh;"10;7783203125";"13;404296875";"9;9375";
2025-01-04 08:00:00 CEST;"105;890625";"93;375";"29;375";"0;1328125";0,0kWh;"7;822265625";"58;8515625";"41;46875";0,0kWh;"12;220703125";"12;484375";"13;625";
2025-01-04 09:00:00 CEST;102,0kWh;85,0kWh;"28;9375";"0;1328125";0,0kWh;"7;7763671875";"49;4765625";"41;34375";0,0kWh;"11;994140625";"13;34765625";"13;53125";
2025-01-04 10:00:00 CEST;"105;84375";"83;375";"28;6875";"0;1328125";0,0kWh;"7;77587890625";"4;72265625";"41;21875";0,0kWh;"11;6298828125";"12;71875";"10;6875";
2025-01-04 11:00:00 CEST;"105;53125";"87;75";"29;6875";"0;1328125";0,0kWh;"7;7197265625";"5;58203125";"41;3125";0,0kWh;"11;8359375";"11;98828125";"11;3125";
2025-01-04 12:00:00 CEST;"97;859375";"91;625";"28;8125";"0;1328125";0,0kWh;"7;71728515625";"5;73828125";"36;90625";0,0kWh;"11;6005859375";"11;677734375";"10;78125";
2025-01-04 13:00:00 CEST;"104;171875";"46;625";"35;75";"0;140625";0,0kWh;"7;7041015625";"5;78125";"41;34375";0,0kWh;"12;1630859375";"12;080078125";"13;5625";
2025-01-04 14:00:00 CEST;"104;359375";46,0kWh;"37;1875";"0;140625";0,0kWh;"7;6875";"5;7890625";"41;25";0,0kWh;"11;716796875";"12;177734375";"13;28125";
2025-01-04 15:00:00 CEST;"106;84375";"79;875";"36;0625";"0;140625";0,0kWh;"7;65576171875";"5;77734375";"41;625";0,0kWh;"11;8740234375";"12;3828125";"13;90625";
2025-01-04 16:00:00 CEST;"103;796875";"38;25";"28;0625";"0;140625";0,0kWh;"7;64013671875";"5;77734375";"41;59375";0,0kWh;"11;6220703125";"11;76171875";"9;53125";
2025-01-04 17:00:00 CEST;"103;296875";"43;5";32,0kWh;"0;140625";0,0kWh;"7;685546875";"5;77734375";"41;5625";0,0kWh;"11;2333984375";"11;154296875";"13;6875";
2025-01-04 18:00:00 CEST;"104;25";"84;625";"31;8125";"0;125";0,0kWh;"7;732421875";"5;73828125";"41;875";0,0kWh;"11;87109375";"9;599609375";"6;34375";
2025-01-04 19:00:00 CEST;"105;5";"75;75";"42;1875";"0;125";0,0kWh;"7;69921875";"5;80859375";"23;96875";0,0kWh;"11;55859375";"9;904296875";0,0kWh;
2025-01-04 20:00:00 CEST;"96;953125";"79;75";"29;8125";"0;1328125";0,0kWh;"6;7265625";"5;20703125";"39;0625";0,0kWh;"11;259765625";"9;572265625";0,0kWh;
2025-01-04 21:00:00 CEST;"0;15625";"10;5";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;4990234375";"9;5078125";0,0kWh;
2025-01-04 22:00:00 CEST;"0;171875";"8;5";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;587890625";"10;279296875";0,0kWh;
2025-01-04 23:00:00 CEST;"0;15625";"7;75";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3212890625";"8;734375";0,0kWh;
2025-01-05 00:00:00 CEST;"0;171875";9,0kWh;0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6005859375";"9;955078125";0,0kWh;
2025-01-05 01:00:00 CEST;"0;171875";9,0kWh;0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;611328125";"6;650390625";0,0kWh;
2025-01-05 02:00:00 CEST;"0;15625";"9;125";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5849609375";"5;92578125";0,0kWh;
2025-01-05 03:00:00 CEST;"0;15625";"8;75";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5185546875";"6;505859375";0,0kWh;
2025-01-05 04:00:00 CEST;"0;171875";"9;125";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6201171875";"6;060546875";0,0kWh;
2025-01-05 05:00:00 CEST;"0;171875";"9;5";0,0kWh;"0;171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;619140625";"6;08203125";0,0kWh;
2025-01-05 06:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6875";"6;236328125";0,0kWh;
2025-01-05 07:00:00 CEST;"0;171875";"9;125";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6162109375";"6;078125";0,0kWh;
2025-01-05 08:00:00 CEST;"0;171875";"9;25";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;650390625";"10;822265625";0,0kWh;
2025-01-05 09:00:00 CEST;"0;171875";"9;25";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6416015625";"6;06640625";0,0kWh;
2025-01-05 10:00:00 CEST;"0;171875";9,0kWh;0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;595703125";"5;89453125";0,0kWh;
2025-01-05 11:00:00 CEST;"0;171875";"8;5";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;4794921875";"6;369140625";0,0kWh;
2025-01-05 12:00:00 CEST;"0;171875";"8;625";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5732421875";"6;138671875";0,0kWh;
2025-01-05 13:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5673828125";"5;9453125";0,0kWh;
2025-01-05 14:00:00 CEST;"0;171875";"8;5";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;4677734375";"6;177734375";0,0kWh;
2025-01-05 15:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;556640625";"5;9921875";0,0kWh;
2025-01-05 16:00:00 CEST;"0;171875";"8;875";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";"6;4140625";0,0kWh;
2025-01-05 17:00:00 CEST;"0;109375";"5;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;9873046875";"4;068359375";0,0kWh;
2025-01-05 18:00:00 CEST;"0;15625";"8;25";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;458984375";"5;60546875";0,0kWh;
2025-01-05 19:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;4921875";"6;16015625";0,0kWh;
